file_path,pst_id,column_length,cut_length,phi,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-19395-caaml.xml,1,1000.0,500.0,0.0,158.0,2.8392571053874684,F,FC,2.0,1.1334226872253585,1.0812944986845543,0.05212818854080432
data/snowpits/2019-2020/snowpits-20632-caaml.xml,0,900.0,300.0,26,184.0,5.550242516693784,4F,FCxr,1.0,0.40185897496694567,0.4001716201666288,0.0016873548003168554
data/snowpits/2019-2020/snowpits-20632-caaml.xml,1,900.0,0.0,26,184.0,5.550242516693784,4F,FCxr,1.0,0.047822952809257,0.04516333809804512,0.002659614711211881
data/snowpits/2019-2020/snowpits-18275-caaml.xml,0,1000.0,240.0,0.0,120.0,0.8462740448617735,F,FCso,1.0,0.27338729233085063,0.26512469381918974,0.008262598511660913
data/snowpits/2019-2020/snowpits-24117-caaml.xml,0,1000.0,370.0,13,210.0,9.928381016949693,F,DH,3.0,0.20730826749551928,0.18376635950032325,0.023541907995196037
data/snowpits/2019-2020/snowpits-20943-caaml.xml,0,1000.0,440.0,21,292.25,42.50435458798165,P,MF,2.0,0.35247828384020735,0.2766530132059625,0.07582527063424487
data/snowpits/2019-2020/snowpits-20911-caaml.xml,0,1000.0,320.0,25,204.0,8.73949373506776,4F,FC,,0.1691202125734333,0.1666363715134393,0.002483841059994009
data/snowpits/2019-2020/snowpits-20724-caaml.xml,0,1000.0,270.0,20,141.12,1.7270433427148753,F+,FCxr,1.0,0.2882677669909081,0.2815316590543903,0.006736107936517776
data/snowpits/2019-2020/snowpits-19688-caaml.xml,0,1000.0,300.0,34,292.25,42.50435458798165,P,MFcr,,0.5085594000194483,0.4975986527144982,0.01096074730495012
data/snowpits/2019-2020/snowpits-20872-caaml.xml,0,1000.0,390.0,30,125.0,1.0127857821582387,F,SHxr,1.0,1.1787662638439032,1.1787244203264557,4.184351744747283e-05
data/snowpits/2019-2020/snowpits-24362-caaml.xml,1,1000.0,450.0,31,269.12,29.571668209433856,1F+,FCxr,3.0,0.5250340421165806,0.5079825579459313,0.017051484170649316
data/snowpits/2019-2020/snowpits-22256-caaml.xml,0,1200.0,350.0,38,269.12,29.571668209433856,1F+,FCxr,,0.37772922478131077,0.3772382250209709,0.0004909997603398746
data/snowpits/2019-2020/snowpits-23756-caaml.xml,0,1000.0,200.0,38,98.88,0.3610694569425981,F-,FCso,2.0,0.48325802980494986,0.4774814682778085,0.00577656152714134
data/snowpits/2019-2020/snowpits-19043-caaml.xml,0,1000.0,450.0,29,125.0,1.0127857821582387,F,SH,6.0,1.389352479546477,1.3655699545959923,0.023782524950484576
data/snowpits/2019-2020/snowpits-19043-caaml.xml,1,1000.0,400.0,29,125.0,1.0127857821582387,F,SH,6.0,1.0161771159226651,1.001709869443879,0.01446724647878614
